0:   KK gagne 42.2%, partage 0.0%
1:   AT-suited gagne 38.7%, partage 0.0%
2:   AK-suited gagne 34.8%, partage 0.0%
3:   JJ gagne 33.3%, partage 0.0%
4:   QQ gagne 29.5%, partage 2.3%
5:   T9-suited gagne 28.6%, partage 0.0%
6:   AJ-suited gagne 28.6%, partage 0.0%
7:   AA gagne 26.8%, partage 0.0%
8:   AQ-suited gagne 26.1%, partage 0.0%
9:   AQ-offsuited gagne 25.9%, partage 0.0%
10:   86-suited gagne 25.0%, partage 3.6%
11:   KT-suited gagne 25.0%, partage 0.0%
12:   K8-suited gagne 23.8%, partage 4.8%
13:   K9-suited gagne 23.8%, partage 0.0%
14:   33 gagne 23.3%, partage 0.0%
15:   J6-suited gagne 23.3%, partage 0.0%
16:   AK-offsuited gagne 22.9%, partage 0.0%
17:   62-suited gagne 22.7%, partage 0.0%
18:   66 gagne 21.1%, partage 5.3%
19:   74-suited gagne 20.0%, partage 6.7%
20:   77 gagne 19.6%, partage 0.0%
21:   93-suited gagne 19.2%, partage 3.8%
22:   T6-suited gagne 19.2%, partage 0.0%
23:   KJ-suited gagne 19.2%, partage 0.0%
24:   88 gagne 18.9%, partage 0.0%
25:   T3-suited gagne 18.8%, partage 0.0%
26:   QJ-suited gagne 18.5%, partage 0.0%
27:   KQ-offsuited gagne 18.5%, partage 1.2%
28:   A3-suited gagne 17.6%, partage 0.0%
29:   98-suited gagne 17.6%, partage 0.0%
30:   K9-offsuited gagne 17.6%, partage 0.0%
31:   AJ-offsuited gagne 17.5%, partage 1.3%
32:   A9-suited gagne 17.4%, partage 0.0%
33:   99 gagne 17.0%, partage 0.0%
34:   84-suited gagne 16.7%, partage 0.0%
35:   QT-suited gagne 16.7%, partage 0.0%
36:   Q5-suited gagne 15.4%, partage 7.7%
37:   86-offsuited gagne 15.3%, partage 0.0%
38:   64-suited gagne 15.0%, partage 5.0%
39:   Q4-suited gagne 15.0%, partage 0.0%
40:   A5-suited gagne 15.0%, partage 2.5%
41:   QJ-offsuited gagne 14.9%, partage 0.0%
42:   A2-suited gagne 14.8%, partage 0.0%
43:   KJ-offsuited gagne 14.7%, partage 1.3%
44:   76-offsuited gagne 14.3%, partage 1.4%
45:   96-suited gagne 14.3%, partage 3.6%
46:   83-suited gagne 13.9%, partage 0.0%
47:   K4-suited gagne 13.9%, partage 2.8%
48:   JT-offsuited gagne 13.8%, partage 1.3%
49:   22 gagne 13.6%, partage 0.0%
50:   72-suited gagne 13.6%, partage 0.0%
51:   K3-offsuited gagne 13.6%, partage 1.1%
52:   J3-suited gagne 13.3%, partage 3.3%
53:   76-suited gagne 13.3%, partage 10.0%
54:   J7-suited gagne 13.3%, partage 0.0%
55:   Q9-suited gagne 13.0%, partage 0.0%
56:   55 gagne 12.8%, partage 0.0%
57:   AT-offsuited gagne 12.6%, partage 0.0%
58:   JT-suited gagne 12.5%, partage 0.0%
59:   J9-suited gagne 11.8%, partage 0.0%
60:   T6-offsuited gagne 11.5%, partage 4.6%
61:   A7-suited gagne 11.5%, partage 3.8%
62:   J2-suited gagne 11.4%, partage 0.0%
63:   82-suited gagne 11.1%, partage 7.4%
64:   44 gagne 11.1%, partage 0.0%
65:   K7-suited gagne 11.1%, partage 7.4%
66:   Q7-suited gagne 10.8%, partage 0.0%
67:   T9-offsuited gagne 10.6%, partage 4.5%
68:   TT gagne 10.6%, partage 0.0%
69:   KQ-suited gagne 10.5%, partage 0.0%
70:   A8-offsuited gagne 10.4%, partage 0.0%
71:   Q2-suited gagne 10.3%, partage 10.3%
72:   A3-offsuited gagne 10.3%, partage 0.0%
73:   Q5-offsuited gagne 10.3%, partage 2.3%
74:   T7-suited gagne 10.3%, partage 0.0%
75:   Q7-offsuited gagne 10.3%, partage 2.3%
